Months,PROPANE-ARA_large_cargo_cif_average_month_1-London_close,PROPANE-FEI_(Far_East_Index),PROPANE-Mont_Belvieu,PROPANE-Saudi_Aramco_CP_month_1,PROPANE-Sonatrach_Algeria_Bethioua_month_1,NORMAL_BUTANEARA_large_cargo_cif_average_month_1_London_close,NORMAL_BUTANEFar_East_Index_(AFEI)_Prmpt,NORMAL_BUTANEMont_Belvieu_Non-LST_(Non-LDH)_$/t_month_1_Houston_close,NORMAL_BUTANESaudi_Aramco_CP_month_1,NORMAL_BUTANESonatrach_Algeria_Bethioua_month_1,US_C5+SellerMont_Belvieu_Non-Targa_(Non-Dynegy)_month_1-Houston_close,Naphtha_BuyerJapan_c+f_half-month_1_Singapore_close,Naphtha_BuyerNWE_65_para_cif_Prmpt_London_close,,,,,,,,,,,,,,
11/1/2010,1.633076688,1.681909789,1.2525,1.477927063,1.477927063,1.975438591,2.037030905,1.61799375,1.766004415,1.843267108,1.9759825,2.116699735,2.066618567,,,,,,,,,,,,,,
12/1/2010,1.926150169,1.829258116,1.294147727,1.737044146,1.775431862,2.11020677,2.087244457,1.700113636,2.086092715,2.174392936,2.098388636,2.280603656,2.229339884,,,,,,,,,,,,,,
1/1/2011,1.775987236,1.668761996,1.346125,1.79462572,1.871401152,1.900520861,1.879635762,1.6898125,2.030905077,1.898454746,2.1509575,2.314781746,2.2625,,,,,,,,,,,,,,
2/1/2011,1.594461996,1.610684581,1.373157895,1.573896353,1.621880998,1.842491501,1.88263429,1.742289474,1.78807947,1.832229581,2.246276316,2.377755732,2.331944444,,,,,,,,,,,,,,
3/1/2011,1.725396645,1.737294501,1.37526087,1.573896353,1.631477927,2.068980612,2.06276994,1.828521739,1.898454746,1.909492274,2.42463913,2.609730849,2.59679089,,,,,,,,,,,,,,
4/1/2011,1.867182235,1.857965451,1.443675,1.679462572,1.775431862,2.2015948,2.213355408,1.90459375,1.964679912,2.06401766,2.55119,2.799900794,2.784207819,,,,,,,,,,,,,,
5/1/2011,1.777485509,1.738387716,1.514255952,1.813819578,1.852207294,2.144177594,2.15607064,1.878446429,2.196467991,2.229580574,2.506333333,2.63015873,2.605654762,,,,,,,,,,,,,,
6/1/2011,1.678066132,1.655383005,1.516534091,1.641074856,1.641074856,1.966550472,1.992574754,1.820340909,2.041942605,1.997792494,2.374575,2.482022607,2.475348725,,,,,,,,,,,,,,
7/1/2011,1.656796362,1.643679737,1.52253125,1.564299424,1.573896353,1.961892463,1.983811626,1.87353125,1.887417219,1.87196468,2.455875,2.575995213,2.5909549,,,,,,,,,,,,,,
8/1/2011,1.646664718,1.598345672,1.529972826,1.60268714,1.689059501,1.948033313,2.006254599,1.861956522,1.953642384,2.01986755,2.289179348,2.508093978,2.485569986,,,,,,,,,,,,,,
9/1/2011,1.627136974,1.534592567,1.561458333,1.516314779,1.593090211,2.035171282,1.942805539,1.919583333,1.909492274,2.01986755,2.350184524,2.514880952,2.488185426,,,,,,,,,,,,,,
10/1/2011,1.473081437,1.490738964,1.471934524,1.41074856,1.477927063,1.848852518,1.841997792,1.805922619,1.799116998,1.909492274,2.266696429,2.342757937,2.334593096,,,,,,,,,,,,,,
11/1/2011,1.532889286,1.576729732,1.45596875,1.439539347,1.487523992,1.841515252,1.903395354,1.82365625,1.78807947,1.810154525,2.23321875,2.323979592,2.28992304,,,,,,,,,,,,,,
12/1/2011,1.570838196,1.622429394,1.391755952,1.477927063,1.516314779,1.799556733,1.979817092,2.030863095,1.810154525,1.832229581,2.219261905,2.401045603,2.319444444,,,,,,,,,,,,,,
1/1/2012,1.658712092,1.859531266,1.2915,1.631477927,1.554702495,2.086426364,2.24108284,1.9763125,2.008830022,2.008830022,2.31796875,2.543859649,2.512156715,,,,,,,,,,,,,,
2/1/2012,1.884770313,2.151859976,1.22265625,1.938579655,1.823416507,2.178385157,2.344686219,1.876375,2.29580574,2.218543046,2.39736875,2.766282439,2.722663139,,,,,,,,,,,,,,
3/1/2012,2.081998255,2.157346013,1.261477273,2.36084453,2.226487524,2.294937688,2.397150311,1.928613636,2.604856512,2.450331126,2.449375,2.884259259,2.827080327,,,,,,,,,,,,,,
4/1/2012,1.856794828,1.774136276,1.1946875,1.900191939,1.833013436,2.2166346,2.191225166,1.91090625,2.196467991,2.218543046,2.365225,2.773181217,2.723823448,,,,,,,,,,,,,,
5/1/2012,1.42556936,1.451448264,0.949431818,1.554702495,1.564299424,1.884248545,1.87803532,1.650482955,1.975717439,2.075055188,2.096289773,2.392857143,2.321729197,,,,,,,,,,,,,,
6/1/2012,1.198525104,1.254547116,0.78172619,1.305182342,1.266794626,1.356111421,1.555450436,1.285982143,1.688741722,1.523178808,1.699285714,1.973293021,1.932957393,,,,,,,,,,,,,,
7/1/2012,1.385377508,1.486346187,0.872589286,1.103646833,1.113243762,1.538603251,1.765502709,1.330208333,1.368653422,1.302428256,1.866934524,2.219366282,2.185575998,,,,,,,,,,,,,,
8/1/2012,1.691076339,1.860570332,0.896820652,1.487523992,1.468330134,1.863564118,2.071533691,1.459347826,1.710816777,1.677704194,2.104972826,2.500755858,2.472943723,,,,,,,,,,,,,,
9/1/2012,1.91310144,2.102111324,0.908881579,1.861804223,1.785028791,2.150386313,2.227538631,1.515164474,2.052980132,2.041942605,2.069934211,2.59239418,2.557738095,,,,,,,,,,,,,,
10/1/2012,1.936441876,2.092305008,0.960896739,1.967370441,1.852207294,2.131525866,2.239664861,1.514130435,2.130242826,2.141280353,2.123190217,2.55239899,2.532666207,,,,,,,,,,,,,,
11/1/2012,2.002219072,2.034046248,0.88940625,2.015355086,1.957773512,2.276887919,2.179280984,1.64478125,2.185430464,2.262693157,2.18625,2.505605946,2.470869408,,,,,,,,,,,,,,
12/1/2012,1.936173553,1.864299424,0.79009375,1.938579655,1.871401152,2.08312455,2.130187638,1.76409375,2.097130243,2.163355408,2.15315625,2.521825397,2.488269284,,,,,,,,,,,,,,
1/1/2013,1.646098674,1.785726749,0.83375,1.833013436,1.689059501,1.947327413,2.053782862,1.705595238,2.10816777,1.986754967,2.22625,2.572420635,2.466149591,,,,,,,,,,,,,,
2/1/2013,1.695083493,1.80720836,0.861907895,1.746641075,1.660268714,2.074014238,2.080328673,1.617960526,2.008830022,1.997792494,2.340559211,2.713293651,2.627017196,,,,,,,,,,,,,,
3/1/2013,1.566413628,1.594385797,0.89378125,1.717850288,1.583493282,1.902473731,1.938686534,1.4116875,1.975717439,1.997792494,2.1340125,2.498346561,2.417460317,,,,,,,,,,,,,,
